Total People,n
1,25295
10,5355
100,1175
101,101
102,101
103,103
104,420
106,294
107,106
108,216
109,215
11,3519
110,110
111,109
112,435
113,338
114,113
115,228
1157,1154
116,115
117,117
118,117
1181,1165
119,119
12,4137
120,116
121,91
122,122
124,122
125,242
126,252
128,250
129,253
1299,1249
13,2849
131,131
132,263
133,133
134,129
135,553
136,268
137,273
1373,1344
138,138
139,519
14,2756
140,136
141,282
144,215
145,143
146,288
147,138
149,289
15,2558
150,150
1506,585
151,142
153,152
1547,1418
155,153
156,310
157,468
158,151
159,159
16,2305
160,158
161,161
162,320
163,585
164,163
166,166
168,161
169,321
1696,1658
17,2090
170,169
171,161
1710,1099
172,342
173,169
175,328
176,177
178,133
179,344
18,2288
180,134
181,139
182,233
183,164
189,189
19,2227
191,191
195,583
196,540
198,194
2,30762
20,2829
200,196
201,194
203,195
204,360
205,203
206,578
207,206
208,205
21,1331
211,237
212,376
213,842
214,212
2155,2109
216,198
2162,1660
217,216
218,788
22,1514
224,218
225,889
229,454
23,1318
230,440
231,228
232,232
234,234
236,432
237,470
238,183
24,1322
240,469
241,176
2424,1825
243,188
244,241
245,245
246,245
247,490
248,981
249,722
25,1385
250,2645
251,251
254,246
255,434
26,1163
266,265
27,1197
271,224
279,270
28,986
29,1460
292,287
3,24610
30,1722
300,296
301,299
302,297
309,308
31,1148
312,266
313,285
32,1008
321,317
327,320
329,314
33,872
330,605
331,327
34,948
349,342
35,979
351,351
357,342
36,774
366,297
37,699
370,360
374,363
376,366
379,336
38,414
383,375
39,1004
398,390
4,34127
40,1435
41,763
412,320
414,401
42,1202
420,398
429,425
43,444
430,421
438,332
44,783
4478,4340
448,433
449,440
45,753
46,827
47,731
48,1083
482,477
49,1758
5,23779
50,3760
502,502
51,405
511,402
517,377
52,307
53,473
530,990
539,531
54,458
546,537
55,381
56,472
5619,4483
562,562
57,563
58,290
59,214
6,29664
60,649
605,603
61,345
613,586
618,597
62,245
621,576
628,563
63,313
631,288
639,632
64,359
643,1929
65,377
656,649
66,528
664,604
665,644
67,447
670,322
68,318
69,348
7,8596
70,482
703,703
71,589
72,415
73,581
739,721
74,418
75,323
76,278
77,399
78,791
79,381
8,6318
80,713
802,782
81,336
82,398
827,622
83,652
84,499
840,757
85,533
86,333
87,348
870,702
88,354
89,519
9,4941
90,148
91,454
92,272
93,93
94,319
95,468
96,315
961,751
97,752
98,858
99,973
NA,43
