"CALLER_ROOM","Count"
"",5937052
"residence",27776
"s. grounds",5991
"south cour",1687
"res",1443
"ww",1000
"east room",810
"press lobb",392
"430",313
"south lawn",282
"state floo",250
"51611",207
"ew",190
"west wing",162
"430a",132
"430b/c",100
"428",88
"37",83
"82",77
"10025",70
"rose garde",64
"sca",61
"5235a",56
"430bc",55
"350",52
"state dini",49
"412a",48
"3015",46
"east exec",45
"485",39
"412",39
"east wing",34
"107",31
"5230",30
"223",30
"old family",29
"445",28
"3202",27
"248",26
"114",26
"press brie",25
"5104",25
"222",25
"130",23
"9104",21
"443",21
"404",21
"112",21
"379",20
"216",19
"212",19
"10103",19
"115",18
"7236",17
"234",17
"203",17
"430 bc",16
"4013",16
"307",16
"283",15
"100",15
"9116",14
"209",14
"135",14
"105",14
"246",13
"188",13
"124",13
"536",12
"530",12
"482",12
"450",12
"4208",12
"200",12
"roosevelt",11
"285",11
"230",11
"2020",11
"109",11
"6025",10
"242",10
"1",10
"s. court",9
"97",9
"8116",9
"62374",9
"488",9
"204",9
"202a",9
"18",9
"111",9
"bowling al",8
"7215",8
"6116",8
"52990",8
"5208",8
"486",8
"237",8
"208",8
"10002",8
"495",7
"430 b/c",7
"343",7
"289",7
"202",7
"132",7
"10201",7
"state plac",6
"sgrounds",6
"neob",6
"mess hall",6
"mess",6
"62225",6
"5235",6
"5203",6
"5101",6
"5001",6
"401",6
"30",6
"236",6
"230a",6
"228",6
"226",6
"186",6
"112a",6
"10026",6
"oval offic",5
"map room",5
"88",5
"84",5
"8025",5
"8",5
"7013",5
"5218a",5
"5217",5
"430b",5
"427",5
"3020",5
"279",5
"25",5
"142",5
"101",5
"wh mess",4
"s.lawn",4
"s. lawn",4
"presslobby",4
"nss",4
"north port",4
"eeob",4
"b1, b2",4
"b065",4
"9013",4
"74299",4
"72466",4
"69361",4
"61192",4
"593",4
"491",4
"430.0",4
"386",4
"291",4
"22",4
"2",4
"19",4
"west exec",3
"ns",3
"drivers",3
"7025",3
"62580",3
"62423",3
"61204",3
"5013",3
"5002",3
"432",3
"423",3
"421",3
"3201",3
"316",3
"287",3
"129",3
"10001",3
"082",3
"vpotus off",2
"truman bow",2
"navy mess",2
"marine one",2
"gs",2
"cabinet ro",2
"9208",2
"8235",2
"8222",2
"69318",2
"63335",2
"63282",2
"63235",2
"63230",2
"63158",2
"6235",2
"61337",2
"60",2
"591",2
"54934",2
"5224",2
"480",2
"4221",2
"4220",2
"422",2
"402",2
"393",2
"35949",2
"330",2
"3007",2
"280",2
"240",2
"223.0",2
"220",2
"2008",2
"15",2
"144",2
"137",2
"102 (east",2
"100a",2
"ww tour",1
"southct",1
"slawn",1
"presslobb",1
"press",1
"ovaloffice",1
"ew206",1
"eeob/neob",1
"eeob 401",1
"eeob 109",1
"eeo/neo",1
"dip room",1
"9202",1
"9104.0",1
"89",1
"74",1
"72",1
"71669",1
"7002",1
"69471",1
"69431",1
"69381",1
"67116",1
"66066",1
"65602",1
"64673",1
"64656",1
"62357",1
"62334",1
"62301",1
"61750",1
"61651",1
"61190",1
"6101",1
"55897",1
"53708",1
"53635",1
"528",1
"5236",1
"52272",1
"5208.0",1
"497",1
"493",1
"487",1
"483",1
"481",1
"474",1
"462",1
"419",1
"4117",1
"382",1
"381",1
"336",1
"326",1
"311",1
"307.0",1
"302a",1
"286",1
"277",1
"276",1
"243",1
"235",1
"233",1
"197",1
"193",1
"187",1
"154",1
"140",1
"135.0",1
"132.0",1
"125",1
"118",1
"1062403",1
"106",1
